
              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UC4a-Gbdw7vOaccHmFo40b9g Khan Academy
                                       Khan Academy Ed Talks   PLSQl0a2vh4HDZK6OUTRZ3_IAfWSdbGuFx    1 2021-03-08
                                                Khan Kickoff   PLSQl0a2vh4HDi8jW6TSDdRsXAE68bl__2    6 2021-01-13
        Algebra 2 | Get Ready for Grade Level | Khan Academy   PLSQl0a2vh4HAB5mMeiG2DQy1FL5e9I4eg  155 2020-08-04
        5th Grade | Get Ready for Grade Level | Khan Academy   PLSQl0a2vh4HCthyyJ8XF1dcvenOkOmE6Q   79 2020-08-04
        4th Grade | Get Ready for Grade Level | Khan Academy   PLSQl0a2vh4HCTD0d024o-gNSN_veZrWj_   65 2020-08-04

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCAuUUnT6oDeKwE6v1NGQxug TED
              Your Money and Your Mind with Wendy De La Rosa   PLOGi5-fAu8bENcBPN_-1fxoFKZMFn5kHx    8 2021-01-29
                            5 questions about climate change   PLOGi5-fAu8bEF6ukwKoQ98iii13Hm82dE    5 2020-10-13
                  TED Talks from the Countdown Global Launch   PLOGi5-fAu8bEyLwr2Ddjq9lDM2Fd0SpCH   29 2020-10-07
         Truth, courage and solutions for the climate crisis   PLOGi5-fAu8bFuO7dyCHWHwQHelIgpR5ke   10 2020-09-18
                         Sleeping with Science, a TED series   PLOGi5-fAu8bGQzXikzsIm-IKaSujo6sfy    9 2020-08-31

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCDom90xOqP4avehFjSJO6NA Sick Science!
                                           Steve on the News   PLloy2Jjr9RsSFbc7XnUxTBEW27Kcep-bp  187 2015-08-26
                                        Backyard BBQ Science   PLloy2Jjr9RsQ_sPhBZYn0eWrgLBp0ZPLy   62 2015-07-23
                                        Easter Eggsperiments   PLloy2Jjr9RsT1eJYgBtAZterCd_rhFwvB   33 2015-07-23
                                              Back to School   PLloy2Jjr9RsSGcoLKDKjrYKG6cv9l5HJ0   16 2015-07-22
                                          Science with Sugar   PLloy2Jjr9RsQQQlxT10T2EsLTkKkX9X90    9 2014-11-20

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCEBb1b_L6zDS3xTUrIALZOw MIT OpenCourseWare
“Why This Matters” Moments: Highlights from 3.091 Intro to Solid-State Chemistry   PLUl4u3cNGP61q4qJ1vdkBbiWn3AF1q5SQ   34 2020-11-30
  MIT 3.091 Introduction to Solid-State Chemistry, Fall 2018   PLUl4u3cNGP63z5HAguqleEbsICfHgDPaG   47 2020-10-21
MIT 15.S08 FinTech: Shaping the Financial World, Spring 2020   PLUl4u3cNGP61Q_RVDn6srWbLV_zFnd9n0   12 2020-10-11
          MIT RES.2-006 Girls Who Build Cameras, Summer 2016   PLUl4u3cNGP615HAaYHGj9xugSAQay06Je   10 2020-08-10
        MIT OLL: Getting up to Speed in Biology, Summer 2020   PLUl4u3cNGP629Egng0HfgRJfXBNTPw1le   28 2020-08-06

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
UCHnyfMqiRRG1u-2MsSQLbXA Veritasium
                                                     Pindrop   PLkahZjV5wKe_5qGhL7JeNS8aJUjSdYHHD    1 2021-01-26
                                              Test Yourself!   PLkahZjV5wKe8WFEwvs69V7JO-Cx57rZ8W   14 2013-09-19
                       From Transistors to Quantum Computers   PLkahZjV5wKe_dajngssVLffaCh2gbq55_    6 2013-07-23
                                        New Here? Try These!                   PL16649CCE7EFA8B2F   49 2012-07-15
                                         Spinning Tube Trick                   PL811B3DA9ECD1B290    3 2012-03-07

              Channed ID     Channel Title
                                                       Title                          Playlist ID    # Date
